location,neighborhood_short,neigbhorhood_long,council_district,zipcode,urban_village,geographical_area,latitude,longitude
530330017023,Crown Hill,NO BROADER TERM,SCC6,98117,None,Seattle,-122.36841000000001,47.69638
530330017024,Greenwood,NO BROADER TERM,SCC6,98117,None,Seattle,-122.36197,47.69784
530330018001,North College Park,NORTHGATE,SCC5,98103,Aurora-Licton Springs,Seattle,-122.33757,47.6942
530330018002,North College Park,NORTHGATE,SCC5,98103,Aurora-Licton Springs,Seattle,-122.34438,47.69222
530330018003,Greenwood,NO BROADER TERM,SCC5,98103,Aurora-Licton Springs,Seattle,-122.34656000000001,47.695409999999995
530330019001,Maple Leaf,NORTHGATE,SCC5,98115,Northgate,Seattle,-122.32803999999999,47.699490000000004
530330019002,Maple Leaf,NORTHGATE,SCC5,98115,None,Seattle,-122.32033,47.69495
530330019003,Maple Leaf,NORTHGATE,SCC5,98115,None,Seattle,-122.32836999999999,47.69321
530330020001,Maple Leaf,NORTHGATE,SCC5,98115,None,Seattle,-122.30993000000001,47.69393
530330020002,Maple Leaf,NORTHGATE,SCC5,98115,None,Seattle,-122.31356000000001,47.69899
530330020003,Maple Leaf,NORTHGATE,SCC5,98115,None,Seattle,-122.31395,47.69465
530330021001,Wedgwood,NO BROADER TERM,SCC5,98115,None,Seattle,-122.29393,47.696259999999995
530330021002,Meadowbrook,LAKE CITY,SCC5,98115,None,Seattle,-122.30073,47.69753
530330021003,Wedgwood,NO BROADER TERM,SCC5,98115,None,Seattle,-122.30116000000001,47.69249
530330022001,Matthews Beach,LAKE CITY,SCC5,98115,None,Seattle,-122.28346,47.70178
530330022002,Wedgwood,NO BROADER TERM,SCC5,98115,None,Seattle,-122.28617,47.69625
530330022003,Matthews Beach,LAKE CITY,SCC5,98115,None,Seattle,-122.2795,47.693000000000005
530330022004,View Ridge,NO BROADER TERM,SCC4,98115,None,Seattle,-122.27278999999999,47.68734
530330024001,Wedgwood,NO BROADER TERM,SCC4,98115,None,Seattle,-122.28459,47.687979999999996
530330024002,Wedgwood,NO BROADER TERM,SCC4,98115,None,Seattle,-122.28483999999999,47.68444
