Id,Id2,Geography,Edu Total,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",1074,185,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,46,74,0,12,0,12,0,12,0,12,72,58,0,12,54,64,156,85,45,42,374,170,125,75,129,85,73,55
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",1111,291,0,12,0,12,0,12,0,12,0,12,15,24,56,88,0,12,0,12,0,12,44,69,0,12,0,12,0,12,62,57,122,134,78,75,99,73,135,79,132,85,184,83,83,70,85,72,16,25
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",1279,297,25,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,25,0,12,13,21,0,12,1,3,225,177,34,48,89,81,76,59,97,66,435,142,123,72,47,38,98,78
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",1186,239,49,53,0,12,0,12,0,12,0,12,42,66,0,12,0,12,41,65,0,12,0,12,0,12,16,25,0,12,15,24,168,113,77,72,41,31,204,107,84,55,266,129,136,107,12,19,35,56
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",715,183,0,12,0,12,0,12,0,12,0,12,12,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,78,70,109,80,1,3,14,21,92,49,47,44,250,94,85,78,0,12,27,30
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",865,210,28,42,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,30,35,106,54,53,63,38,51,52,52,56,55,306,112,185,98,0,12,11,18
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",705,234,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,19,33,0,12,70,105,55,68,73,59,43,40,41,48,79,74,48,47,196,92,63,54,0,12,18,31
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",1233,293,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,323,180,0,12,41,40,150,99,163,107,292,112,191,124,24,39,49,46
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",856,188,91,111,0,12,0,12,0,12,0,12,0,12,0,12,0,12,60,91,3,9,0,12,0,12,0,12,0,12,0,12,37,38,0,12,18,29,140,86,54,63,228,98,148,100,0,12,77,55
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",1196,276,16,25,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,36,0,12,0,12,0,12,19,29,0,12,0,12,94,60,16,26,119,99,147,80,140,110,486,149,90,75,0,12,48,70
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",1008,205,29,47,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,25,31,42,38,58,47,65,28,41,60,52,36,35,388,152,289,132,36,40,12,20
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",1073,141,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,17,15,23,54,56,22,24,198,125,20,28,94,52,92,59,109,61,319,135,81,55,17,19,42,29
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",1064,159,16,22,0,12,0,12,0,12,0,12,1,2,0,12,0,12,0,12,0,12,0,12,0,12,47,56,0,12,31,36,123,65,26,25,81,48,137,67,232,124,258,99,104,59,8,12,0,12
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",2530,255,16,35,0,12,0,12,0,12,0,12,0,12,0,12,26,47,0,12,0,12,27,45,0,12,17,27,28,43,0,12,505,165,131,69,125,84,476,209,347,173,565,198,186,92,50,61,31,36
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",1141,283,24,37,0,12,0,12,0,12,0,12,0,12,0,12,0,12,22,33,0,12,0,12,0,12,29,45,19,43,0,12,70,65,53,49,43,43,287,164,35,40,302,137,136,117,27,31,94,79
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",1127,204,37,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,29,37,2,5,19,26,12,20,172,91,4,5,114,72,193,107,132,110,365,149,48,47,0,12,0,12
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",1103,262,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,34,28,6,12,10,22,15,25,76,90,153,75,20,32,80,68,207,115,37,42,264,131,136,81,44,55,21,27
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",717,193,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,71,54,1,3,53,49,42,48,39,48,412,154,60,47,39,43,0,12
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",964,216,17,27,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,46,52,0,12,180,114,19,32,15,23,101,95,57,52,374,127,86,55,47,72,22,34
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",1616,449,25,26,0,12,0,12,0,12,0,12,0,12,0,12,7,17,0,12,0,12,0,12,0,12,27,33,0,12,0,12,339,150,0,12,81,67,208,141,76,62,552,152,177,130,78,68,46,56
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",929,122,0,12,7,12,0,12,0,12,0,12,0,12,4,8,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,22,23,2,5,16,18,149,58,55,33,339,108,200,73,85,37,50,28
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",645,100,0,12,0,12,0,12,0,12,0,12,9,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,19,57,28,9,13,0,12,71,38,50,42,238,64,134,51,38,27,21,22
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",805,120,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,60,45,16,24,63,39,103,51,46,39,355,122,95,48,45,26,22,21
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",874,173,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,29,36,152,94,36,41,58,40,152,73,66,86,238,111,103,60,0,12,40,40
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",846,238,0,12,0,12,0,12,0,12,0,12,9,19,0,12,0,12,0,12,0,12,0,12,0,12,9,19,0,12,39,44,135,117,69,81,65,76,41,33,88,74,225,98,122,85,33,38,11,19
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",1105,291,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,28,15,23,0,12,38,49,128,140,14,22,98,86,169,118,41,50,334,146,205,150,32,35,18,30
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",1332,211,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,54,76,206,111,91,104,60,47,197,89,82,73,393,138,147,79,67,64,35,41
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",616,174,13,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,62,35,0,12,0,12,0,12,0,12,0,12,65,45,16,26,14,22,13,21,58,41,53,52,113,83,196,110,13,22,0,12
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",1016,238,20,32,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,19,32,170,99,24,40,43,42,184,76,44,40,345,156,117,105,50,47,0,12
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",1475,266,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,44,69,0,12,12,19,232,121,71,69,69,54,235,115,205,121,389,137,159,84,16,25,43,42
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",659,162,0,12,15,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,33,37,101,94,2,4,34,36,85,71,107,71,178,107,71,60,33,51,0,12
