Id,Id2,Geography,Population,Margin of Error; Total
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",1177,308
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",1112,365
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",1571,385
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",1771,395
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",746,162
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",889,244
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",1004,365
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",1838,422
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",1142,290
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",1502,327
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",1444,322
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",1150,194
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",1469,268
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",3754,703
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",1333,295
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",1149,230
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",981,234
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",930,275
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",1352,366
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",1627,392
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",1157,164
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",849,135
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",1003,169
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",1120,266
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",1150,321
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",1305,416
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",1687,386
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",566,226
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",1479,328
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",2099,450
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",890,214
1500000US530330007003,530330007003,"Block Group 3, Census Tract 7, King County, Washington",751,181
1500000US530330007004,530330007004,"Block Group 4, Census Tract 7, King County, Washington",533,164
1500000US530330008001,530330008001,"Block Group 1, Census Tract 8, King County, Washington",1161,255
1500000US530330008002,530330008002,"Block Group 2, Census Tract 8, King County, Washington",1353,195
1500000US530330009001,530330009001,"Block Group 1, Census Tract 9, King County, Washington",1133,177
1500000US530330009002,530330009002,"Block Group 2, Census Tract 9, King County, Washington",825,110
1500000US530330010001,530330010001,"Block Group 1, Census Tract 10, King County, Washington",966,188
1500000US530330010002,530330010002,"Block Group 2, Census Tract 10, King County, Washington",974,127
1500000US530330011001,530330011001,"Block Group 1, Census Tract 11, King County, Washington",1216,327
1500000US530330011002,530330011002,"Block Group 2, Census Tract 11, King County, Washington",1469,227
1500000US530330012001,530330012001,"Block Group 1, Census Tract 12, King County, Washington",1163,275
1500000US530330012002,530330012002,"Block Group 2, Census Tract 12, King County, Washington",874,250
1500000US530330012003,530330012003,"Block Group 3, Census Tract 12, King County, Washington",1461,348
1500000US530330012004,530330012004,"Block Group 4, Census Tract 12, King County, Washington",1501,415
1500000US530330012005,530330012005,"Block Group 5, Census Tract 12, King County, Washington",1338,268
1500000US530330013001,530330013001,"Block Group 1, Census Tract 13, King County, Washington",1452,270
1500000US530330013002,530330013002,"Block Group 2, Census Tract 13, King County, Washington",1631,310
1500000US530330013003,530330013003,"Block Group 3, Census Tract 13, King County, Washington",1265,320
1500000US530330014001,530330014001,"Block Group 1, Census Tract 14, King County, Washington",1395,333
1500000US530330014002,530330014002,"Block Group 2, Census Tract 14, King County, Washington",903,266
1500000US530330014003,530330014003,"Block Group 3, Census Tract 14, King County, Washington",1333,354
1500000US530330014004,530330014004,"Block Group 4, Census Tract 14, King County, Washington",1558,224
1500000US530330015001,530330015001,"Block Group 1, Census Tract 15, King County, Washington",1181,210
1500000US530330015002,530330015002,"Block Group 2, Census Tract 15, King County, Washington",1271,187
1500000US530330016001,530330016001,"Block Group 1, Census Tract 16, King County, Washington",1376,209
1500000US530330016002,530330016002,"Block Group 2, Census Tract 16, King County, Washington",1211,203
1500000US530330016003,530330016003,"Block Group 3, Census Tract 16, King County, Washington",1466,217
1500000US530330017011,530330017011,"Block Group 1, Census Tract 17.01, King County, Washington",1551,330
1500000US530330017012,530330017012,"Block Group 2, Census Tract 17.01, King County, Washington",1090,192
1500000US530330017013,530330017013,"Block Group 3, Census Tract 17.01, King County, Washington",1473,313
1500000US530330017021,530330017021,"Block Group 1, Census Tract 17.02, King County, Washington",1572,382
1500000US530330017022,530330017022,"Block Group 2, Census Tract 17.02, King County, Washington",937,196
1500000US530330017023,530330017023,"Block Group 3, Census Tract 17.02, King County, Washington",1311,330
1500000US530330017024,530330017024,"Block Group 4, Census Tract 17.02, King County, Washington",660,180
1500000US530330018001,530330018001,"Block Group 1, Census Tract 18, King County, Washington",2010,676
1500000US530330018002,530330018002,"Block Group 2, Census Tract 18, King County, Washington",1360,273
1500000US530330018003,530330018003,"Block Group 3, Census Tract 18, King County, Washington",1691,391
1500000US530330019001,530330019001,"Block Group 1, Census Tract 19, King County, Washington",2146,283
1500000US530330019002,530330019002,"Block Group 2, Census Tract 19, King County, Washington",1354,244
1500000US530330019003,530330019003,"Block Group 3, Census Tract 19, King County, Washington",1018,204
1500000US530330020001,530330020001,"Block Group 1, Census Tract 20, King County, Washington",1551,228
1500000US530330020002,530330020002,"Block Group 2, Census Tract 20, King County, Washington",1112,188
