SERIALNO,HINCP,NP,WGTP,AMI_80,HINCP_threshold,AMI_60,AMI_50,AMI_40
58747,45449.41405665899,4,69,69,Under 60,69,69,0
59335,70457.06400304186,1,71,0,Over 60,0,0,0
59428,98962.4338330478,2,64,0,Over 60,0,0,0
60329,214680.41201878095,2,126,0,Over 60,0,0,0
60744,27227.75957311368,1,694,694,Under 60,694,694,694
61325,284844.2539956508,2,64,0,Over 60,0,0,0
62043,11100.54813365404,1,84,84,Under 60,84,84,84
63042,203684.58603733117,2,63,0,Over 60,0,0,0
63186,128808.24721126856,4,89,0,Over 60,0,0,0
64224,158140.92204368836,1,138,0,Over 60,0,0,0
64588,58749.12738660298,1,102,0,Over 60,0,0,0
65170,17174.432961502476,1,128,128,Under 60,128,128,128
66136,109958.25981449755,2,60,0,Over 60,0,0,0
66674,75818.83819590117,3,65,0,Over 60,0,0,0
66675,144830.7364985239,3,91,0,Over 60,0,0,0
66763,41684.652684915,4,89,89,Under 60,89,89,0
66810,42936.08240375619,3,115,115,Under 60,115,115,0
67396,97915.21231100497,3,104,0,Over 60,0,0,0
68247,86291.05341632951,2,109,0,Over 60,0,0,0
69361,1780.2765874728175,1,63,63,Under 60,63,63,63
69622,50266.633058056024,1,53,53,Over 60,0,0,0
70208,104722.15220428338,4,137,0,Over 60,0,0,0
71886,43983.303925799024,3,85,85,Under 60,85,85,0
72145,87861.88569939377,4,77,0,Over 60,0,0,0
72444,72048.84071654697,1,103,0,Over 60,0,0,0
72921,57701.90586456015,2,90,90,Over 60,0,0,0
73160,157083.22830642507,1,132,0,Over 60,0,0,0
73471,62833.29132257003,1,121,0,Over 60,0,0,0
74897,45030.52544784186,2,106,106,Under 60,106,0,0
75666,172226.05151516446,5,67,0,Over 60,0,0,0
76046,253741.77479097864,4,119,0,Over 60,0,0,0
76996,68069.3989327842,1,118,0,Over 60,0,0,0
77987,22829.429180533778,2,84,84,Under 60,84,84,84
79049,115194.36742471173,2,152,0,Over 60,0,0,0
79733,23164.540067587488,1,108,108,Under 60,108,108,108
80530,188499.8739677101,4,75,0,Over 60,0,0,0
81545,303663.87196828256,4,87,0,Over 60,0,0,0
81708,53827.18623300166,1,111,111,Over 60,0,0,0
82435,12776.102568922573,2,96,96,Under 60,96,96,96
83090,21153.874745265242,1,120,120,Under 60,120,120,120
85730,78541.61415321253,1,99,0,Over 60,0,0,0
85771,122524.91807901156,3,64,0,Over 60,0,0,0
85792,261805.38051070846,4,229,0,Over 60,0,0,0
87305,218869.29810695228,2,177,0,Over 60,0,0,0
88798,48172.19001397036,1,66,66,Over 60,0,0,0
88953,42517.193794939056,1,121,121,Over 60,0,0,0
90120,9215.549393976939,1,121,121,Under 60,121,121,121
90757,52361.07610214169,1,63,63,Over 60,0,0,0
90938,138547.4073662669,1,143,0,Over 60,0,0,0
94341,135091.57634352558,2,123,0,Over 60,0,0,0
94896,85872.16480751238,4,79,0,Over 60,0,0,0
95391,724677.293253641,2,72,0,Over 60,0,0,0
96557,153941.56374029658,2,138,0,Over 60,0,0,0
96901,155721.8403277694,2,63,0,Over 60,0,0,0
96988,128829.19164170943,4,128,0,Over 60,0,0,0
98995,130902.69025535423,4,118,0,Over 60,0,0,0
99040,143992.95928088966,2,185,0,Over 60,0,0,0
100987,77494.3926311697,1,72,0,Over 60,0,0,0
102061,256569.27290049428,1,150,0,Over 60,0,0,0
102099,139332.82350779904,3,304,0,Over 60,0,0,0
103685,69336.53697445603,2,134,0,Over 60,0,0,0
103965,73305.50654299837,1,126,0,Over 60,0,0,0
105111,96344.38002794072,1,88,0,Over 60,0,0,0
105250,108073.26107482046,2,64,0,Over 60,0,0,0
105815,217822.07658490943,1,244,0,Over 60,0,0,0
106166,62885.65239867217,2,159,159,Over 60,0,0,0
107010,198972.08918813843,5,119,0,Over 60,0,0,0
107281,100428.54396390777,2,40,0,Over 60,0,0,0
108434,105088.67973699838,5,82,0,Over 60,0,0,0
108502,79693.55782745966,2,82,0,Over 60,0,0,0
108965,226199.84876125213,4,46,0,Over 60,0,0,0
109592,52361.07610214169,1,99,99,Over 60,0,0,0
109707,41888.86088171336,1,136,136,Under 60,136,0,0
110148,35605.53174945635,1,72,72,Under 60,72,0,0
110170,146611.01308599673,4,116,0,Over 60,0,0,0
110345,188499.8739677101,2,124,0,Over 60,0,0,0
111368,36443.30896709062,1,66,66,Under 60,66,0,0
111429,68069.3989327842,2,266,0,Over 60,0,0,0
111675,157083.22830642507,2,64,0,Over 60,0,0,0
112530,62833.29132257003,1,59,0,Over 60,0,0,0
112535,50790.24381907744,2,326,326,Over 60,0,0,0
112836,277513.70334135095,2,122,0,Over 60,0,0,0
112853,157083.22830642507,2,123,0,Over 60,0,0,0
113558,269659.5419260297,3,89,0,Over 60,0,0,0
114139,47124.968491927524,1,151,151,Over 60,0,0,0
116072,121477.69655696873,2,109,0,Over 60,0,0,0
116301,83777.72176342671,2,62,0,Over 60,0,0,0
116730,123572.1396010544,2,437,0,Over 60,0,0,0
116865,111372.00886925538,2,86,0,Over 60,0,0,0
117267,131949.91177739706,1,237,0,Over 60,0,0,0
118484,309977.5705246788,3,60,0,Over 60,0,0,0
119317,55502.74066827019,2,80,80,Over 60,0,0,0
121939,113099.92438062606,2,328,0,Over 60,0,0,0
123204,109958.25981449755,4,106,0,Over 60,0,0,0
123829,65660.78943208569,1,63,0,Over 60,0,0,0
124119,172791.55113706758,3,73,0,Over 60,0,0,0
124814,157083.22830642507,2,69,0,Over 60,0,0,0
125716,17279.155113706758,1,73,73,Under 60,73,73,73
126441,261805.38051070846,4,73,0,Over 60,0,0,0
126623,150799.89917416807,3,99,0,Over 60,0,0,0
126877,171953.77391943333,7,92,0,Over 60,0,0,0
127079,28274.981095156516,1,123,123,Under 60,123,123,0
128135,128808.24721126856,2,126,0,Over 60,0,0,0
128918,244002.61463598028,1,112,0,Over 60,0,0,0
129843,59691.62675644153,1,150,0,Over 60,0,0,0
129891,157083.22830642507,2,130,0,Over 60,0,0,0
130439,97601.04585439211,3,80,0,Over 60,0,0,0
131896,62288.736131107755,5,52,52,Under 60,52,0,0
132140,157083.22830642507,1,408,0,Over 60,0,0,0
132848,93998.60381856476,4,63,0,Over 60,0,0,0
133829,73305.50654299837,1,118,0,Over 60,0,0,0
134110,103674.93068224055,2,387,0,Over 60,0,0,0
134476,235624.8424596376,1,166,0,Over 60,0,0,0
136645,256464.55074829,2,147,0,Over 60,0,0,0
137666,100533.26611611205,1,67,0,Over 60,0,0,0
137739,1570.8322830642508,2,83,83,Under 60,83,83,83
137801,58644.4052343987,1,330,0,Over 60,0,0,0
138240,66289.12234531138,1,91,0,Over 60,0,0,0
138454,143050.45991105112,2,92,0,Over 60,0,0,0
141075,144516.57004191107,2,138,0,Over 60,0,0,0
141311,138233.24090965407,2,135,0,Over 60,0,0,0
141786,212062.35821367387,4,57,0,Over 60,0,0,0
141959,53408.297624184524,1,69,69,Over 60,0,0,0
143660,167555.44352685343,2,71,0,Over 60,0,0,0
