Block_Group,Population,Year
530330059002,617,2000
530330059003,561,2000
530330059004,787,2000
530330059005,740,2000
530330059006,593,2000
530330059007,1996,2000
530330060001,1355,2000
530330060002,751,2000
530330060003,964,2000
530330060004,644,2000
530330060005,1011,2000
530330061001,810,2000
530330061002,841,2000
530330061003,583,2000
530330061004,1151,2000
530330061005,1062,2000
530330062001,612,2000
530330062002,695,2000
530330062003,757,2000
530330062004,841,2000
530330062005,895,2000
530330063001,1575,2000
530330063002,896,2000
530330063003,569,2000
530330063004,559,2000
530330063005,731,2000
530330063006,676,2000
530330064001,824,2000
530330064002,1135,2000
530330064003,627,2000
530330064004,615,2000
530330065001,936,2000
530330065002,658,2000
530330065003,853,2000
530330065004,1598,2000
530330066001,948,2000
530330066002,530,2000
530330066003,1476,2000
530330067001,1073,2000
530330067002,609,2000
530330067003,2082,2000
530330067004,1605,2000
530330068001,799,2000
530330068002,500,2000
530330068003,740,2000
530330068004,607,2000
530330069001,977,2000
530330069002,991,2000
530330069003,839,2000
530330069004,1038,2000
530330070001,1101,2000
530330070002,1155,2000
530330070003,1497,2000
530330070004,1010,2000
530330070005,1043,2000
530330070006,1049,2000
530330071001,890,2000
530330071002,919,2000
530330072001,495,2000
530330072002,2589,2000
530330073001,809,2000
530330073002,1163,2000
530330073003,246,2000
530330074001,804,2000
530330074002,790,2000
530330074003,673,2000
530330074004,1671,2000
530330074005,1805,2000
530330074006,1291,2000
530330074007,1898,2000
530330075001,1161,2000
530330075002,1071,2000
530330075003,1500,2000
530330075004,890,2000
530330075005,932,2000
530330076001,557,2000
530330076002,1065,2000
530330076003,849,2000
530330076004,790,2000
530330077001,505,2000
530330077002,680,2000
530330077003,885,2000
530330077004,1126,2000
530330077005,794,2000
530330078001,520,2000
530330078002,735,2000
530330078003,784,2000
530330078004,895,2000
530330078005,704,2000
530330078006,669,2000
530330078007,790,2000
530330079001,630,2000
530330079002,861,2000
530330079003,774,2000
530330079004,784,2000
530330079005,1183,2000
530330080011,767,2000
530330080012,1498,2000
530330080013,1145,2000
530330080021,1618,2000
530330080022,1144,2000
530330081001,2431,2000
530330081002,1046,2000
530330082001,333,2000
530330082002,845,2000
530330082003,1697,2000
530330083001,626,2000
530330083002,1303,2000
530330083003,579,2000
530330084001,3086,2000
530330084002,752,2000
530330085001,1118,2000
530330085002,1187,2000
530330085003,3720,2000
530330086001,858,2000
530330086002,2135,2000
530330086003,1105,2000
530330087001,832,2000
530330087002,1019,2000
530330087003,702,2000
530330087004,1237,2000
530330088001,647,2000
530330088002,760,2000
530330088003,755,2000
530330088004,722,2000
530330088005,622,2000
530330089001,949,2000
530330089002,592,2000
530330089003,609,2000
530330089004,865,2000
530330089005,758,2000
530330089006,823,2000
530330090001,783,2000
530330090002,506,2000
530330090003,845,2000
530330091001,1131,2000
530330091002,952,2000
530330092001,925,2000
530330092002,911,2000
530330093001,960,2000
530330093002,667,2000
530330093003,975,2000
530330094001,1086,2000
530330094002,863,2000
530330094003,1182,2000
530330094004,700,2000
530330094005,1371,2000
530330095001,940,2000
530330095002,816,2000
530330095003,575,2000
530330095004,787,2000
530330095005,1356,2000
530330095006,1243,2000
530330096001,755,2000
530330096002,848,2000
530330096003,1043,2000
530330096004,1037,2000
530330096005,1236,2000
530330097011,1578,2000
530330097012,1035,2000
530330097013,1158,2000
530330097014,1552,2000
530330097021,1226,2000
530330097022,915,2000
530330097023,805,2000
530330097024,956,2000
530330097025,1109,2000
530330098001,532,2000
530330098002,949,2000
530330098003,593,2000
530330098004,627,2000
530330098005,730,2000
530330098006,806,2000
530330098007,922,2000
