ParcelID,DocumentDate,PropertyType,SalePrice,lat,lon,blkgrp
6891100540,9/14/2016,11,887500,47.70884,-122.11572,530330000000.0
3830200240,9/13/2016,11,266900,47.37338,-122.18638999999999,530330000000.0
7979900715,3/22/2017,11,601451,47.74194,-122.29574,530330000000.0
4016800110,2/24/2017,11,582500,47.36342,-122.27123999999999,530330000000.0
2021200500,3/13/2017,11,910000,47.634240000000005,-122.39675,530330000000.0
2767600261,4/17/2017,11,831500,47.675709999999995,-122.38325,530330000000.0
8832900075,3/23/2017,11,825000,47.75853,-122.26825,530330000000.0
4045900010,8/4/2017,11,1175000,47.761179999999996,-122.11966000000001,530330000000.0
9578100160,4/21/2017,11,310000,47.495940000000004,-122.26677,530330000000.0
7234600677,3/9/2017,11,824000,47.611990000000006,-122.311,530330000000.0
1001200040,9/19/2016,11,235000,47.4325,-122.29225,530330000000.0
3052700341,3/26/2018,11,645000,47.67929,-122.37553999999999,530330000000.0
7523700065,10/6/2016,11,249000,47.37877,-122.30751000000001,530330000000.0
1623300815,8/9/2016,11,783000,47.682320000000004,-122.36209,530330000000.0
6163900210,5/1/2017,11,400000,47.759840000000004,-122.31843,530330000000.0
3260700130,5/9/2018,11,350000,47.309490000000004,-122.32506000000001,530330000000.0
3224800140,11/8/2016,11,349900,47.3109,-122.20782,530330000000.0
666000142,6/19/2017,11,1020000,47.607820000000004,-122.2019,530330000000.0
7889601610,3/23/2018,11,260000,47.491890000000005,-122.3363,530330000000.0
8568030240,5/29/2018,11,850000,47.74098,-121.96501,530330000000.0
8155870210,12/15/2016,11,428000,47.282309999999995,-122.29516000000001,530330000000.0
4083301856,6/2/2017,11,925000,47.65761,-122.33471000000002,530330000000.0
3999200350,2/26/2018,11,1000000,47.58422,-122.11946,530330000000.0
3999200350,8/30/2017,11,650000,47.58422,-122.11946,530330000000.0
3401700088,5/11/2018,11,2000000,47.73697,-122.13318000000001,530330000000.0
1993200080,11/28/2016,11,535000,47.68913,-122.33815,530330000000.0
722039057,4/25/2017,11,800000,47.40415,-122.47385,530330000000.0
3764390220,9/22/2016,11,525000,47.71508,-122.21636000000001,530330000000.0
2597500150,3/30/2018,11,337950,47.28629,-122.19398000000001,530330000000.0
2436200615,3/13/2017,11,550000,47.66425,-122.29466000000001,530330000000.0
3461600090,6/30/2017,11,995000,47.5677,-122.13072,530330000000.0
4386700070,8/18/2016,11,1285000,47.63617,-122.28118,530330000000.0
9274200318,3/9/2018,11,715000,47.58919,-122.38673999999999,530330000000.0
7202261160,1/10/2017,11,780000,47.69025,-122.04024,530330000000.0
2816300050,6/20/2017,11,430000,47.482490000000006,-122.15794,530330000000.0
