Id,Id2,Geography,Race Total,Margin of Error; Total:,White alone,Margin of Error; Total: - White alone,Black or African American alone,Margin of Error; Total: - Black or African American alone,American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Asian alone,Margin of Error; Total: - Asian alone,Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Some other race alone,Margin of Error; Total: - Some other race alone,Two or more races,Margin of Error; Total: - Two or more races:,Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",1177,308,960,247,72,111,0,12,145,143,0,12,0,12,0,12,0,12,0,12
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",1112,365,696,292,127,91,0,12,95,77,129,156,0,12,65,66,0,12,65,66
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",1571,385,1101,359,127,109,0,12,102,61,15,26,79,75,147,117,0,12,147,117
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",1771,395,694,262,282,196,64,103,289,221,0,12,374,244,68,65,14,22,54,61
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",746,162,511,169,1,3,12,21,172,120,0,12,17,30,33,39,0,12,33,39
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",889,244,558,185,0,12,0,12,265,183,0,12,14,24,52,63,0,12,52,63
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",1004,365,562,165,226,333,0,12,147,134,0,12,52,77,17,30,0,12,17,30
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",1838,422,932,251,247,267,71,114,576,387,0,12,0,12,12,20,0,12,12,20
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",1142,290,623,173,0,12,0,12,451,277,0,12,0,12,68,64,0,12,68,64
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",1502,327,954,271,128,150,0,12,198,124,0,12,16,27,206,240,0,12,206,240
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",1444,322,1249,300,15,25,9,22,90,104,0,12,18,29,63,56,33,43,30,37
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",1150,194,1035,179,0,12,0,12,63,70,39,55,0,12,13,22,0,12,13,22
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",1469,268,1015,228,79,69,31,38,114,93,122,152,0,12,108,70,29,33,79,60
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",3754,703,2122,584,759,400,68,79,257,145,0,12,34,41,514,355,0,12,514,355
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",1333,295,834,232,61,42,15,25,398,260,0,12,20,33,5,12,0,12,5,12
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",1149,230,910,194,61,74,0,12,127,83,15,28,0,12,36,40,0,12,36,40
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",981,234,859,242,55,60,7,12,60,55,0,12,0,12,0,12,0,12,0,12
