Id,Id2,Geography,Food Stamps Total,Margin of Error; Total:,Estimate; Household received Food Stamps/SNAP in the past 12 months:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months:,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months:,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",531,128,36,36,0,12,36,36,495,128,109,63,386,120
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",600,128,97,83,34,56,63,63,503,127,73,46,430,130
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",705,119,147,72,116,63,31,35,558,131,159,109,399,108
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",782,161,249,99,81,64,168,76,533,142,53,43,480,139
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",564,108,46,42,31,36,15,23,518,110,68,47,450,109
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",454,81,34,28,34,28,0,12,420,78,16,25,404,79
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",467,121,66,85,0,12,66,85,401,125,62,48,339,127
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",855,143,36,41,17,26,19,32,819,150,70,62,749,155
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",529,97,33,38,21,32,12,20,496,99,99,50,397,99
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",791,150,191,122,40,44,151,113,600,142,179,98,421,141
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",477,103,14,22,14,22,0,12,463,104,87,58,376,101
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",508,65,70,60,17,21,53,57,438,71,74,40,364,71
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",569,76,150,89,69,68,81,63,419,79,58,37,361,77
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",1648,238,430,142,231,119,199,102,1218,225,262,89,956,211
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",699,153,0,12,0,12,0,12,699,153,63,45,636,154
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",814,136,155,74,89,60,66,51,659,142,322,117,337,110
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",503,133,86,87,36,38,50,79,417,115,70,85,347,86
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",486,102,0,12,0,12,0,12,486,102,68,51,418,110
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",608,134,39,44,23,35,16,25,569,138,44,41,525,142
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",763,136,16,20,16,20,0,12,747,135,338,108,409,109
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",447,56,0,12,0,12,0,12,447,56,122,53,325,67
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",355,61,0,12,0,12,0,12,355,61,60,34,295,69
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",467,69,11,18,11,18,0,12,456,71,100,38,356,77
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",523,155,21,22,10,15,11,17,502,162,80,53,422,155
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",615,156,120,87,54,87,66,88,495,136,155,112,340,106
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",576,124,30,34,0,12,30,34,546,131,39,38,507,135
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",689,152,41,43,32,38,9,21,648,153,64,47,584,163
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",232,58,5,13,0,12,5,13,227,57,51,39,176,68
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",736,154,82,57,47,41,35,40,654,158,74,68,580,155
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",926,149,130,71,14,21,116,68,796,159,68,47,728,161
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",489,103,82,72,53,63,29,34,407,101,71,61,336,89
1500000US530330007003,530330007003,"Block Group 3, Census Tract 7, King County, Washington",399,100,70,62,0,12,70,62,329,90,17,26,312,89
1500000US530330007004,530330007004,"Block Group 4, Census Tract 7, King County, Washington",289,67,17,27,17,27,0,12,272,64,36,33,236,62
1500000US530330008001,530330008001,"Block Group 1, Census Tract 8, King County, Washington",463,65,14,19,0,12,14,19,449,62,77,40,372,69
1500000US530330008002,530330008002,"Block Group 2, Census Tract 8, King County, Washington",572,71,71,48,9,14,62,45,501,67,47,32,454,74
1500000US530330009001,530330009001,"Block Group 1, Census Tract 9, King County, Washington",545,58,29,24,4,7,25,23,516,61,103,45,413,67
1500000US530330009002,530330009002,"Block Group 2, Census Tract 9, King County, Washington",346,49,12,17,0,12,12,17,334,51,11,12,323,52
1500000US530330010001,530330010001,"Block Group 1, Census Tract 10, King County, Washington",294,63,67,40,27,25,40,34,227,59,8,9,219,59
1500000US530330010002,530330010002,"Block Group 2, Census Tract 10, King County, Washington",441,59,23,26,3,7,20,24,418,61,22,15,396,63
1500000US530330011001,530330011001,"Block Group 1, Census Tract 11, King County, Washington",471,78,13,20,13,20,0,12,458,77,146,68,312,69
1500000US530330011002,530330011002,"Block Group 2, Census Tract 11, King County, Washington",627,80,62,45,26,31,36,29,565,83,86,49,479,94
1500000US530330012001,530330012001,"Block Group 1, Census Tract 12, King County, Washington",524,106,80,81,17,28,63,76,444,111,72,66,372,118
