Id,Id2,Geography,Tenure Total,Margin of Error; Total:,Own,Margin of Error; Total: - Owner occupied,Rent,Margin of Error; Total: - Renter occupied
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",562,116,497,110,65,53
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",614,156,113,52,501,156
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",662,106,288,90,374,104
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",823,178,12,18,811,180
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",519,118,76,52,443,103
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",393,73,362,70,31,36
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",496,160,241,63,255,158
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",861,140,160,68,701,152
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",560,95,371,74,189,85
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",746,144,351,83,395,140
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",492,86,463,88,29,34
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",471,65,252,62,219,68
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",612,83,373,77,239,80
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",1818,190,381,109,1437,202
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",631,128,294,87,337,125
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",807,130,213,69,594,116
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",484,99,226,70,258,92
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",455,97,266,94,189,104
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",656,159,311,106,345,131
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",779,123,246,84,533,134
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",431,45,417,50,14,16
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",371,59,363,61,8,12
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",428,71,386,70,42,53
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",459,94,365,90,94,64
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",570,144,200,83,370,145
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",590,128,318,104,272,109
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",760,165,374,88,386,157
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",216,74,155,54,61,63
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",785,157,299,109,486,136
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",993,135,281,102,712,148
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",460,101,214,103,246,85
1500000US530330007003,530330007003,"Block Group 3, Census Tract 7, King County, Washington",332,72,233,67,99,60
1500000US530330007004,530330007004,"Block Group 4, Census Tract 7, King County, Washington",280,67,191,57,89,54
1500000US530330008001,530330008001,"Block Group 1, Census Tract 8, King County, Washington",446,76,321,66,125,57
1500000US530330008002,530330008002,"Block Group 2, Census Tract 8, King County, Washington",564,71,406,70,158,52
1500000US530330009001,530330009001,"Block Group 1, Census Tract 9, King County, Washington",490,56,396,51,94,43
1500000US530330009002,530330009002,"Block Group 2, Census Tract 9, King County, Washington",365,49,339,52,26,29
1500000US530330010001,530330010001,"Block Group 1, Census Tract 10, King County, Washington",333,62,142,32,191,59
1500000US530330010002,530330010002,"Block Group 2, Census Tract 10, King County, Washington",412,47,270,42,142,44
1500000US530330011001,530330011001,"Block Group 1, Census Tract 11, King County, Washington",469,94,321,76,148,72
1500000US530330011002,530330011002,"Block Group 2, Census Tract 11, King County, Washington",634,96,337,76,297,94
1500000US530330012001,530330012001,"Block Group 1, Census Tract 12, King County, Washington",497,95,386,89,111,61
1500000US530330012002,530330012002,"Block Group 2, Census Tract 12, King County, Washington",496,138,83,57,413,137
1500000US530330012003,530330012003,"Block Group 3, Census Tract 12, King County, Washington",976,165,180,69,796,149
1500000US530330012004,530330012004,"Block Group 4, Census Tract 12, King County, Washington",664,145,41,50,623,146
1500000US530330012005,530330012005,"Block Group 5, Census Tract 12, King County, Washington",864,165,103,54,761,163
1500000US530330013001,530330013001,"Block Group 1, Census Tract 13, King County, Washington",818,107,410,110,408,120
1500000US530330013002,530330013002,"Block Group 2, Census Tract 13, King County, Washington",690,114,371,123,319,102
1500000US530330013003,530330013003,"Block Group 3, Census Tract 13, King County, Washington",644,112,229,94,415,118
1500000US530330014001,530330014001,"Block Group 1, Census Tract 14, King County, Washington",590,105,344,90,246,91
1500000US530330014002,530330014002,"Block Group 2, Census Tract 14, King County, Washington",374,93,242,77,132,60
1500000US530330014003,530330014003,"Block Group 3, Census Tract 14, King County, Washington",576,112,202,77,374,117
1500000US530330014004,530330014004,"Block Group 4, Census Tract 14, King County, Washington",612,101,436,93,176,102
1500000US530330015001,530330015001,"Block Group 1, Census Tract 15, King County, Washington",515,56,412,66,103,59
1500000US530330015002,530330015002,"Block Group 2, Census Tract 15, King County, Washington",605,54,497,63,108,47
1500000US530330016001,530330016001,"Block Group 1, Census Tract 16, King County, Washington",571,74,563,75,8,13
1500000US530330016002,530330016002,"Block Group 2, Census Tract 16, King County, Washington",538,74,467,63,71,54
1500000US530330016003,530330016003,"Block Group 3, Census Tract 16, King County, Washington",658,84,394,72,264,75
1500000US530330017011,530330017011,"Block Group 1, Census Tract 17.01, King County, Washington",772,112,244,81,528,95
1500000US530330017012,530330017012,"Block Group 2, Census Tract 17.01, King County, Washington",551,78,344,82,207,62
1500000US530330017013,530330017013,"Block Group 3, Census Tract 17.01, King County, Washington",623,103,351,98,272,111
1500000US530330017021,530330017021,"Block Group 1, Census Tract 17.02, King County, Washington",853,122,323,93,530,108
1500000US530330017022,530330017022,"Block Group 2, Census Tract 17.02, King County, Washington",515,94,345,93,170,62
1500000US530330017023,530330017023,"Block Group 3, Census Tract 17.02, King County, Washington",434,93,239,67,195,85
1500000US530330017024,530330017024,"Block Group 4, Census Tract 17.02, King County, Washington",260,67,212,60,48,40
1500000US530330018001,530330018001,"Block Group 1, Census Tract 18, King County, Washington",734,149,437,122,297,149
1500000US530330018002,530330018002,"Block Group 2, Census Tract 18, King County, Washington",672,120,223,82,449,121
1500000US530330018003,530330018003,"Block Group 3, Census Tract 18, King County, Washington",824,145,499,157,325,155
1500000US530330019001,530330019001,"Block Group 1, Census Tract 19, King County, Washington",1131,105,410,93,721,123
1500000US530330019002,530330019002,"Block Group 2, Census Tract 19, King County, Washington",549,70,374,70,175,74
1500000US530330019003,530330019003,"Block Group 3, Census Tract 19, King County, Washington",426,68,348,61,78,41
1500000US530330020001,530330020001,"Block Group 1, Census Tract 20, King County, Washington",749,86,374,65,375,87
1500000US530330020002,530330020002,"Block Group 2, Census Tract 20, King County, Washington",492,71,260,51,232,77
1500000US530330020003,530330020003,"Block Group 3, Census Tract 20, King County, Washington",335,52,267,53,68,35
1500000US530330021001,530330021001,"Block Group 1, Census Tract 21, King County, Washington",600,65,509,63,91,46
1500000US530330021002,530330021002,"Block Group 2, Census Tract 21, King County, Washington",404,64,246,61,158,66
1500000US530330021003,530330021003,"Block Group 3, Census Tract 21, King County, Washington",662,82,386,75,276,78
1500000US530330022001,530330022001,"Block Group 1, Census Tract 22, King County, Washington",622,84,520,88,102,63
1500000US530330022002,530330022002,"Block Group 2, Census Tract 22, King County, Washington",552,74,509,79,43,40
1500000US530330022003,530330022003,"Block Group 3, Census Tract 22, King County, Washington",522,73,446,74,76,43
1500000US530330022004,530330022004,"Block Group 4, Census Tract 22, King County, Washington",491,75,491,75,0,12
1500000US530330024001,530330024001,"Block Group 1, Census Tract 24, King County, Washington",387,59,319,61,68,45
1500000US530330024002,530330024002,"Block Group 2, Census Tract 24, King County, Washington",344,52,178,44,166,41
1500000US530330024003,530330024003,"Block Group 3, Census Tract 24, King County, Washington",507,67,369,74,138,53
1500000US530330025001,530330025001,"Block Group 1, Census Tract 25, King County, Washington",612,64,545,67,67,48
1500000US530330025002,530330025002,"Block Group 2, Census Tract 25, King County, Washington",622,69,435,73,187,55
1500000US530330026001,530330026001,"Block Group 1, Census Tract 26, King County, Washington",516,76,275,62,241,78
1500000US530330026002,530330026002,"Block Group 2, Census Tract 26, King County, Washington",516,71,369,54,147,70
1500000US530330026003,530330026003,"Block Group 3, Census Tract 26, King County, Washington",514,70,378,76,136,51
1500000US530330026004,530330026004,"Block Group 4, Census Tract 26, King County, Washington",373,55,219,54,154,69
1500000US530330027001,530330027001,"Block Group 1, Census Tract 27, King County, Washington",623,119,363,127,260,86
