Id,Id2,Geography,Tenure Total,Margin of Error; Total:,Own,Margin of Error; Total: - Owner occupied,Rent,Margin of Error; Total: - Renter occupied
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",629,95,589,104,40,45
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",760,139,111,53,649,143
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",684,110,318,89,366,109
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",928,160,37,34,891,167
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",546,111,87,49,459,107
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",471,93,379,91,92,68
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",468,142,249,83,219,116
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",835,130,163,69,672,141
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",541,95,331,75,210,110
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",754,131,381,96,373,109
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",484,83,484,83,0,12
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",519,62,332,74,187,67
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",657,64,353,87,304,87
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",1972,190,344,111,1628,201
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",684,149,336,75,348,157
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",886,133,209,85,677,131
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",554,112,175,72,379,104
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",383,81,273,76,110,62
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",664,139,290,116,374,129
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",791,118,353,99,438,101
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",466,54,450,53,16,17
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",363,48,353,48,10,14
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",422,55,375,60,47,34
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",445,75,399,77,46,33
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",536,114,189,67,347,113
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",684,141,268,82,416,132
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",769,114,439,94,330,119
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",336,90,221,69,115,91
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",653,127,229,87,424,129
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",1008,125,349,117,659,135
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",445,93,218,73,227,91
1500000US530330007003,530330007003,"Block Group 3, Census Tract 7, King County, Washington",456,88,333,73,123,82
1500000US530330007004,530330007004,"Block Group 4, Census Tract 7, King County, Washington",279,71,173,62,106,56
1500000US530330008001,530330008001,"Block Group 1, Census Tract 8, King County, Washington",499,62,362,54,137,57
1500000US530330008002,530330008002,"Block Group 2, Census Tract 8, King County, Washington",541,63,384,65,157,60
1500000US530330009001,530330009001,"Block Group 1, Census Tract 9, King County, Washington",445,48,375,47,70,28
1500000US530330009002,530330009002,"Block Group 2, Census Tract 9, King County, Washington",405,43,377,46,28,25
