Id,Id2,Geography,Race Total,Margin of Error; Total:,White alone,Margin of Error; Total: - White alone,Black or African American alone,Margin of Error; Total: - Black or African American alone,American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Asian alone,Margin of Error; Total: - Asian alone,Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Some other race alone,Margin of Error; Total: - Some other race alone,Two or more races,Margin of Error; Total: - Two or more races:,Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US530330292044,530330292044,"Block Group 4, Census Tract 292.04, King County, Washington",947,503,645,420,73,82,0,12,153,204,0,12,0,12,76,78,26,43,50,64
1500000US530330292051,530330292051,"Block Group 1, Census Tract 292.05, King County, Washington",2267,544,1251,329,220,144,0,12,357,197,0,12,416,492,23,35,0,12,23,35
1500000US530330292052,530330292052,"Block Group 2, Census Tract 292.05, King County, Washington",1368,841,863,725,47,57,0,12,59,78,380,559,0,12,19,30,0,12,19,30
1500000US530330292053,530330292053,"Block Group 3, Census Tract 292.05, King County, Washington",1271,282,840,260,0,12,0,12,245,161,17,30,49,45,120,81,90,75,30,30
1500000US530330292061,530330292061,"Block Group 1, Census Tract 292.06, King County, Washington",449,205,380,191,9,13,0,12,60,57,0,12,0,12,0,12,0,12,0,12
1500000US530330292062,530330292062,"Block Group 2, Census Tract 292.06, King County, Washington",1874,423,1116,355,111,81,69,116,91,69,403,231,15,23,69,52,0,12,69,52
1500000US530330292063,530330292063,"Block Group 3, Census Tract 292.06, King County, Washington",1266,287,720,339,124,94,14,24,265,222,5,10,54,89,84,93,0,12,84,93
1500000US530330293031,530330293031,"Block Group 1, Census Tract 293.03, King County, Washington",1043,453,240,127,306,464,23,38,345,208,0,12,22,34,107,107,0,12,107,107
1500000US530330293032,530330293032,"Block Group 2, Census Tract 293.03, King County, Washington",797,387,290,119,0,12,0,12,497,420,0,12,0,12,10,15,0,12,10,15
1500000US530330293033,530330293033,"Block Group 3, Census Tract 293.03, King County, Washington",2814,528,1590,415,331,164,0,12,645,371,0,12,20,34,228,162,35,56,193,152
