Id,Id2,Geography,Race Total,Margin of Error; Total:,White alone,Margin of Error; Total: - White alone,Black or African American alone,Margin of Error; Total: - Black or African American alone,American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Asian alone,Margin of Error; Total: - Asian alone,Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Some other race alone,Margin of Error; Total: - Some other race alone,Two or more races,Margin of Error; Total: - Two or more races:,Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",1248,258,1139,251,8,60,16,25,58,67,0,12,0,12,27,32,13,22,14,23
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",1336,337,730,208,319,245,0,12,111,97,108,157,0,12,68,60,0,12,68,60
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",1785,413,1154,366,165,136,0,12,226,140,14,22,101,90,125,84,0,12,125,84
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",1953,444,706,217,518,233,35,56,208,156,0,12,215,217,271,271,51,65,220,213
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",939,221,708,189,0,12,9,15,164,127,0,12,30,35,28,34,0,12,28,34
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",1032,290,757,266,0,12,0,12,196,170,0,12,0,12,79,96,0,12,79,96
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",1061,411,518,191,213,325,0,12,184,104,0,12,79,95,67,98,0,12,67,98
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",1601,300,965,244,236,248,73,118,281,168,0,12,0,12,46,45,0,12,46,45
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",1126,262,503,142,25,35,0,12,503,259,0,12,1,4,94,82,0,12,94,82
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",1755,420,994,223,207,225,0,12,143,120,0,12,187,224,224,216,0,12,224,216
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",1327,322,1094,307,0,12,11,26,89,127,0,12,14,23,119,92,28,41,91,78
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",1325,196,1110,176,37,41,0,12,93,67,30,53,0,12,55,94,0,12,55,94
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",1505,229,1098,192,75,77,31,46,101,75,82,122,0,12,118,85,24,38,94,73
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",3391,423,1799,301,822,429,22,33,422,200,0,12,0,12,326,244,0,12,326,244
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",1500,359,894,262,30,41,16,25,518,314,0,12,0,12,42,65,0,12,42,65
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",1367,237,1079,194,145,151,0,12,100,84,0,12,0,12,43,48,0,12,43,48
