Id,Id2,Geography,Edu Total,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",898,197,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,32,34,4,8,43,65,17,28,1,2,177,95,20,27,57,58,74,59,77,62,210,104,132,70,36,44,18,30
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",772,190,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,22,36,0,12,0,12,52,85,0,12,0,12,0,12,57,64,0,12,46,37,75,74,40,40,360,136,104,47,16,25,0,12
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",1013,255,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,19,28,0,12,17,26,0,12,21,35,0,12,114,97,18,30,45,45,165,123,94,69,367,139,64,50,72,64,17,27
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",1409,368,24,25,0,12,0,12,0,12,0,12,0,12,0,12,5,10,0,12,0,12,0,12,0,12,31,33,0,12,18,29,279,135,0,12,117,66,204,99,56,48,434,136,222,125,0,12,19,29
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",823,103,1,4,0,12,0,12,0,12,0,12,0,12,5,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,46,42,1,3,29,25,105,49,46,36,346,92,127,53,96,45,21,23
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",704,120,0,12,0,12,0,12,0,12,0,12,9,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,39,30,0,12,12,18,91,40,49,39,368,124,98,47,29,24,9,14
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",806,129,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,62,43,22,34,48,36,103,44,17,19,327,123,152,60,35,28,40,39
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",896,188,0,12,0,12,0,12,0,12,0,12,0,12,12,24,11,23,0,12,0,12,0,12,0,12,9,15,0,12,30,37,146,81,35,39,61,47,121,60,136,102,243,119,69,45,8,14,15,25
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",874,233,0,12,0,12,0,12,0,12,0,12,4,11,0,12,0,12,0,12,0,12,0,12,0,12,32,62,0,12,23,27,130,99,42,66,140,111,166,123,14,29,278,166,28,31,17,28,0,12
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",901,238,0,12,0,12,0,12,0,12,0,12,0,12,44,70,0,12,0,12,0,12,0,12,0,12,13,21,0,12,13,21,116,92,15,24,43,53,162,90,56,48,310,149,90,69,27,30,12,18
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",1370,347,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,16,0,12,0,12,0,12,23,38,165,124,157,182,84,68,180,106,72,85,443,160,138,72,51,56,47,58
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",487,200,11,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,41,43,0,12,48,64,87,47,112,98,99,57,78,74,11,19,0,12
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",1161,255,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,15,0,12,0,12,234,118,8,14,70,49,209,92,64,59,409,224,98,95,60,75,0,12
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",1464,279,20,32,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,69,101,0,12,0,12,277,129,81,71,118,86,118,74,225,142,461,153,60,41,20,32,15,18
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",589,139,20,27,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,38,45,40,52,0,12,59,45,13,20,90,71,247,113,40,35,42,62,0,12
1500000US530330007003,530330007003,"Block Group 3, Census Tract 7, King County, Washington",626,147,34,48,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,22,98,73,14,23,11,18,69,60,77,57,191,87,125,81,0,12,0,12
1500000US530330007004,530330007004,"Block Group 4, Census Tract 7, King County, Washington",425,105,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,13,0,12,0,12,0,12,25,28,13,21,17,27,43,56,45,47,19,29,151,80,39,35,40,40,25,29
1500000US530330008001,530330008001,"Block Group 1, Census Tract 8, King County, Washington",888,199,26,48,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,33,49,0,12,13,16,141,101,0,12,9,14,152,77,68,45,160,77,177,80,47,30,62,55
1500000US530330008002,530330008002,"Block Group 2, Census Tract 8, King County, Washington",1037,140,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1,2,0,12,1,2,0,12,25,26,101,61,19,22,46,46,171,59,59,34,335,96,248,75,21,21,10,14
1500000US530330009001,530330009001,"Block Group 1, Census Tract 9, King County, Washington",872,105,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2,4,5,8,15,23,16,19,58,33,21,23,13,16,78,42,41,25,322,73,150,51,24,15,127,49
1500000US530330009002,530330009002,"Block Group 2, Census Tract 9, King County, Washington",642,95,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,10,0,12,0,12,0,12,9,14,10,11,0,12,5,7,34,24,32,22,174,57,245,71,53,24,73,38
1500000US530330010001,530330010001,"Block Group 1, Census Tract 10, King County, Washington",555,108,15,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,22,0,12,4,6,7,11,13,16,6,9,48,42,26,28,0,12,137,57,25,25,115,49,124,45,7,8,13,13
1500000US530330010002,530330010002,"Block Group 2, Census Tract 10, King County, Washington",717,100,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,28,37,8,12,0,12,0,12,55,33,5,11,26,22,112,66,46,35,253,58,107,47,27,20,50,26
1500000US530330011001,530330011001,"Block Group 1, Census Tract 11, King County, Washington",871,202,9,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,30,44,0,12,75,59,33,38,45,32,144,93,73,45,289,106,161,81,0,12,12,22
1500000US530330011002,530330011002,"Block Group 2, Census Tract 11, King County, Washington",1108,181,0,12,0,12,0,12,0,12,6,10,0,12,0,12,0,12,0,12,11,17,0,12,11,18,0,12,0,12,0,12,102,82,0,12,35,29,150,64,65,49,345,104,294,88,40,31,49,36
1500000US530330012001,530330012001,"Block Group 1, Census Tract 12, King County, Washington",907,205,19,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,20,55,54,92,92,0,12,29,35,153,86,99,62,242,119,102,67,45,51,59,46
1500000US530330012002,530330012002,"Block Group 2, Census Tract 12, King County, Washington",566,172,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,89,87,0,12,68,68,73,96,79,50,106,78,122,91,0,12,29,35
1500000US530330012003,530330012003,"Block Group 3, Census Tract 12, King County, Washington",1144,252,19,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,30,32,53,0,12,110,131,183,92,29,33,79,73,182,108,75,62,321,167,77,54,0,12,19,25
1500000US530330012004,530330012004,"Block Group 4, Census Tract 12, King County, Washington",1147,305,2,5,0,12,4,9,0,12,0,12,0,12,0,12,0,12,43,65,0,12,0,12,73,82,28,36,19,29,23,42,135,98,1,3,41,66,170,152,95,85,396,167,117,100,0,12,0,12
1500000US530330012005,530330012005,"Block Group 5, Census Tract 12, King County, Washington",983,242,27,30,0,12,0,12,15,24,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,24,38,14,21,163,105,15,23,41,45,208,128,103,72,301,198,72,53,0,12,0,12
1500000US530330013001,530330013001,"Block Group 1, Census Tract 13, King County, Washington",1147,205,0,12,18,29,0,12,0,12,0,12,0,12,0,12,0,12,15,25,0,12,48,74,0,12,0,12,19,29,7,12,111,70,8,14,68,67,227,116,107,54,358,134,127,80,0,12,34,34
1500000US530330013002,530330013002,"Block Group 2, Census Tract 13, King County, Washington",1169,228,18,38,0,12,0,12,0,12,0,12,0,12,0,12,0,12,58,78,0,12,0,12,0,12,0,12,0,12,0,12,236,179,21,33,35,39,191,105,55,51,247,141,207,133,58,77,43,66
1500000US530330013003,530330013003,"Block Group 3, Census Tract 13, King County, Washington",978,221,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,18,3,8,0,12,15,25,28,28,78,72,45,46,157,83,90,60,378,166,158,98,15,24,0,12
1500000US530330014001,530330014001,"Block Group 1, Census Tract 14, King County, Washington",1021,236,0,12,0,12,0,12,0,12,0,12,17,28,0,12,0,12,0,12,0,12,0,12,13,21,0,12,0,12,0,12,117,95,45,53,95,94,143,78,49,49,402,159,85,53,20,33,35,50
1500000US530330014002,530330014002,"Block Group 2, Census Tract 14, King County, Washington",682,182,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,17,0,12,0,12,15,23,0,12,18,29,18,28,18,29,36,41,29,42,89,57,48,21,77,67,210,89,89,57,0,12,24,29
1500000US530330014003,530330014003,"Block Group 3, Census Tract 14, King County, Washington",923,197,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,24,0,12,0,12,0,12,66,75,63,82,31,39,105,77,9,18,20,25,114,75,65,49,246,121,86,77,44,55,58,48
1500000US530330014004,530330014004,"Block Group 4, Census Tract 14, King County, Washington",1170,170,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,17,90,99,0,12,0,12,111,63,0,12,28,33,36,42,78,63,404,122,310,130,68,56,33,30
1500000US530330015001,530330015001,"Block Group 1, Census Tract 15, King County, Washington",870,109,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,18,24,36,0,12,47,29,8,14,41,29,36,26,66,41,428,111,99,49,46,37,64,35
1500000US530330015002,530330015002,"Block Group 2, Census Tract 15, King County, Washington",1038,119,0,12,0,12,8,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,78,56,16,25,78,66,76,34,28,24,443,110,156,59,76,48,79,56
1500000US530330016001,530330016001,"Block Group 1, Census Tract 16, King County, Washington",1008,141,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,14,37,26,0,12,0,12,191,85,53,34,343,114,228,79,120,59,28,25
1500000US530330016002,530330016002,"Block Group 2, Census Tract 16, King County, Washington",986,153,4,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,11,0,12,48,69,69,36,14,16,80,40,153,73,68,46,272,77,199,59,51,32,20,22
1500000US530330016003,530330016003,"Block Group 3, Census Tract 16, King County, Washington",1089,140,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,18,93,45,56,50,24,22,69,45,213,101,372,107,175,62,33,29,42,50
1500000US530330017011,530330017011,"Block Group 1, Census Tract 17.01, King County, Washington",1151,234,0,12,14,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,10,0,12,79,90,102,66,8,13,45,38,125,60,36,33,524,134,140,88,49,42,23,28
1500000US530330017012,530330017012,"Block Group 2, Census Tract 17.01, King County, Washington",895,154,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,26,15,22,82,47,9,15,70,40,114,67,42,34,338,117,201,107,8,14,0,12
1500000US530330017013,530330017013,"Block Group 3, Census Tract 17.01, King County, Washington",1132,242,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,23,28,22,0,12,0,12,0,12,13,21,0,12,8,14,127,79,78,55,21,23,89,62,184,86,317,106,244,127,8,13,0,12
1500000US530330017021,530330017021,"Block Group 1, Census Tract 17.02, King County, Washington",1178,270,26,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,17,0,12,0,12,0,12,0,12,0,12,0,12,164,137,16,20,77,60,100,61,182,93,433,146,125,67,11,16,33,50
1500000US530330017022,530330017022,"Block Group 2, Census Tract 17.02, King County, Washington",782,167,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,20,0,12,0,12,0,12,12,20,106,69,36,44,68,45,120,56,37,39,263,103,107,67,23,27,0,12
1500000US530330017023,530330017023,"Block Group 3, Census Tract 17.02, King County, Washington",945,204,17,27,0,12,0,12,0,12,0,12,0,12,0,12,0,12,3,6,0,12,5,24,2,6,0,12,3,6,43,49,100,57,8,14,67,68,122,99,229,121,248,106,98,65,0,12,0,12
1500000US530330017024,530330017024,"Block Group 4, Census Tract 17.02, King County, Washington",515,141,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,23,0,12,0,12,0,12,0,12,0,12,13,19,32,32,39,38,27,23,156,83,64,47,137,63,14,16,0,12,18,22
1500000US530330018001,530330018001,"Block Group 1, Census Tract 18, King County, Washington",1230,228,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,27,118,96,0,12,39,38,170,129,117,91,607,202,111,60,38,45,16,27
1500000US530330018002,530330018002,"Block Group 2, Census Tract 18, King County, Washington",926,202,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,27,0,12,0,12,0,12,0,12,0,12,0,12,60,68,0,12,0,12,107,86,133,83,299,108,181,106,77,82,53,57
1500000US530330018003,530330018003,"Block Group 3, Census Tract 18, King County, Washington",1422,329,80,87,0,12,0,12,164,256,0,12,0,12,47,75,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,44,44,0,12,0,12,102,47,175,174,618,190,165,130,27,37,0,12
1500000US530330019001,530330019001,"Block Group 1, Census Tract 19, King County, Washington",1468,235,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,11,0,12,0,12,5,11,0,12,0,12,77,62,8,13,35,31,370,188,173,93,480,128,163,67,55,48,97,73
1500000US530330019002,530330019002,"Block Group 2, Census Tract 19, King County, Washington",994,136,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,33,22,58,67,34,33,123,64,129,97,359,100,165,65,58,42,35,40
1500000US530330019003,530330019003,"Block Group 3, Census Tract 19, King County, Washington",861,147,24,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,13,0,12,0,12,0,12,24,24,143,69,15,18,72,46,140,63,56,46,247,89,68,41,44,38,20,21
1500000US530330020001,530330020001,"Block Group 1, Census Tract 20, King County, Washington",1228,194,0,12,0,12,0,12,0,12,7,11,0,12,0,12,0,12,0,12,9,17,0,12,0,12,0,12,0,12,0,12,108,92,41,61,0,12,136,97,102,64,484,132,243,88,36,32,62,39
1500000US530330020002,530330020002,"Block Group 2, Census Tract 20, King County, Washington",810,116,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,16,0,12,0,12,0,12,11,16,8,13,10,16,81,48,11,17,37,46,124,60,57,42,256,73,131,58,31,29,43,40
1500000US530330020003,530330020003,"Block Group 3, Census Tract 20, King County, Washington",618,107,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,19,0,12,26,25,9,14,12,17,77,48,22,21,257,74,140,63,21,27,42,33
1500000US530330021001,530330021001,"Block Group 1, Census Tract 21, King County, Washington",1182,152,10,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,23,13,20,0,12,4,9,97,91,10,17,36,39,119,53,75,46,374,101,248,92,57,42,123,77
1500000US530330021002,530330021002,"Block Group 2, Census Tract 21, King County, Washington",691,130,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,18,0,12,4,12,0,12,102,67,10,16,17,23,101,53,45,30,306,94,63,52,15,21,18,21
1500000US530330021003,530330021003,"Block Group 3, Census Tract 21, King County, Washington",1267,221,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,19,0,12,0,12,0,12,0,12,10,15,19,28,104,126,0,12,30,28,151,71,75,41,528,158,181,94,58,33,99,49
