Id,Id2,Geography,Food Stamps Total,Margin of Error; Total:,Estimate; Household received Food Stamps/SNAP in the past 12 months:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months:,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months:,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",562,116,25,27,0,12,25,27,537,115,115,57,422,112
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",614,156,102,82,32,53,70,64,512,140,81,74,431,135
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",662,106,171,76,119,75,52,41,491,104,134,83,357,111
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",823,178,262,105,81,65,181,82,561,159,68,48,493,162
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",519,118,54,43,40,37,14,22,465,114,76,41,389,110
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",393,73,34,39,34,39,0,12,359,75,15,24,344,73
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",496,160,113,113,0,12,113,113,383,138,55,48,328,137
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",861,140,54,58,32,41,22,38,807,143,82,60,725,148
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",560,95,38,45,14,21,24,39,522,99,64,41,458,95
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",746,144,213,125,49,45,164,122,533,128,128,68,405,125
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",492,86,16,26,16,26,0,12,476,87,79,59,397,91
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",471,65,73,62,8,12,65,62,398,66,61,35,337,70
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",612,83,140,85,68,66,72,57,472,86,78,45,394,79
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",1818,190,529,187,245,119,284,156,1289,198,269,94,1020,211
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",631,128,0,12,0,12,0,12,631,128,62,43,569,128
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",807,130,197,80,100,59,97,57,610,124,303,100,307,103
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",484,99,33,39,18,29,15,24,451,104,89,74,362,93
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",455,97,17,29,0,12,17,29,438,106,75,58,363,118
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",656,159,53,48,37,43,16,27,603,161,97,84,506,144
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",779,123,33,39,33,39,0,12,746,120,346,107,400,104
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",431,45,0,12,0,12,0,12,431,45,109,51,322,67
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",371,59,0,12,0,12,0,12,371,59,55,30,316,62
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",428,71,10,15,10,15,0,12,418,73,73,44,345,73
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",459,94,18,22,9,19,9,15,441,99,70,44,371,94
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",570,144,129,85,59,70,70,77,441,140,136,113,305,99
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",590,128,35,41,0,12,35,41,555,126,21,23,534,128
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",760,165,68,57,38,46,30,34,692,170,63,53,629,166
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",216,74,31,47,0,12,31,47,185,62,49,45,136,64
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",785,157,116,72,87,55,29,47,669,171,61,65,608,172
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",993,135,187,89,38,42,149,78,806,148,55,47,751,143
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",460,101,47,46,13,21,34,39,413,107,72,66,341,104
1500000US530330007003,530330007003,"Block Group 3, Census Tract 7, King County, Washington",332,72,23,26,0,12,23,26,309,76,19,29,290,69
1500000US530330007004,530330007004,"Block Group 4, Census Tract 7, King County, Washington",280,67,29,33,29,33,0,12,251,71,40,36,211,70
1500000US530330008001,530330008001,"Block Group 1, Census Tract 8, King County, Washington",446,76,16,24,0,12,16,24,430,76,60,32,370,79
1500000US530330008002,530330008002,"Block Group 2, Census Tract 8, King County, Washington",564,71,59,41,8,12,51,38,505,72,56,36,449,78
1500000US530330009001,530330009001,"Block Group 1, Census Tract 9, King County, Washington",490,56,28,20,5,8,23,18,462,58,93,40,369,57
1500000US530330009002,530330009002,"Block Group 2, Census Tract 9, King County, Washington",365,49,14,17,0,12,14,17,351,51,13,14,338,51
1500000US530330010001,530330010001,"Block Group 1, Census Tract 10, King County, Washington",333,62,106,47,35,27,71,36,227,53,11,11,216,53
1500000US530330010002,530330010002,"Block Group 2, Census Tract 10, King County, Washington",412,47,20,22,4,8,16,21,392,49,25,13,367,48
1500000US530330011001,530330011001,"Block Group 1, Census Tract 11, King County, Washington",469,94,13,22,13,22,0,12,456,93,91,50,365,92
1500000US530330011002,530330011002,"Block Group 2, Census Tract 11, King County, Washington",634,96,55,40,13,18,42,36,579,101,38,29,541,102
1500000US530330012001,530330012001,"Block Group 1, Census Tract 12, King County, Washington",497,95,31,53,0,12,31,53,466,100,91,66,375,99
1500000US530330012002,530330012002,"Block Group 2, Census Tract 12, King County, Washington",496,138,0,12,0,12,0,12,496,138,21,30,475,135
1500000US530330012003,530330012003,"Block Group 3, Census Tract 12, King County, Washington",976,165,90,59,41,45,49,37,886,157,356,125,530,143
1500000US530330012004,530330012004,"Block Group 4, Census Tract 12, King County, Washington",664,145,158,98,76,56,82,82,506,156,100,56,406,151
1500000US530330012005,530330012005,"Block Group 5, Census Tract 12, King County, Washington",864,165,66,43,43,40,23,19,798,173,141,97,657,189
