Id,Id2,Geography,Food Stamps Total,Margin of Error; Total:,Estimate; Household received Food Stamps/SNAP in the past 12 months:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months:,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months:,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability
1500000US530330012001,530330012001,"Block Group 1, Census Tract 12, King County, Washington",488,92,14,23,14,23,0,12,474,91,74,57,400,99
1500000US530330012002,530330012002,"Block Group 2, Census Tract 12, King County, Washington",467,160,58,93,0,12,58,93,409,135,18,30,391,134
1500000US530330012003,530330012003,"Block Group 3, Census Tract 12, King County, Washington",1103,175,15,25,0,12,15,25,1088,175,237,115,851,144
1500000US530330012004,530330012004,"Block Group 4, Census Tract 12, King County, Washington",758,144,160,77,68,45,92,67,598,152,163,80,435,141
1500000US530330012005,530330012005,"Block Group 5, Census Tract 12, King County, Washington",805,187,36,41,36,41,0,12,769,187,95,55,674,186
1500000US530330013001,530330013001,"Block Group 1, Census Tract 13, King County, Washington",807,105,158,103,109,83,49,58,649,114,188,72,461,106
1500000US530330013002,530330013002,"Block Group 2, Census Tract 13, King County, Washington",640,111,127,66,65,39,62,63,513,125,65,59,448,122
1500000US530330013003,530330013003,"Block Group 3, Census Tract 13, King County, Washington",719,103,43,39,0,12,43,39,676,100,122,70,554,108
1500000US530330014001,530330014001,"Block Group 1, Census Tract 14, King County, Washington",588,113,82,106,18,27,64,101,506,109,104,59,402,110
1500000US530330014002,530330014002,"Block Group 2, Census Tract 14, King County, Washington",463,100,64,73,18,29,46,67,399,95,89,60,310,100
1500000US530330014003,530330014003,"Block Group 3, Census Tract 14, King County, Washington",603,107,14,24,0,12,14,24,589,106,88,59,501,114
