Id,Id2,Geography,Pc_income,Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",56515,13931
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",27561,7385
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",33910,8744
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",13808,4227
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",34874,6540
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",37517,6102
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",24283,7438
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",34238,7707
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",25967,4236
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",32953,6382
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",35175,6117
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",26898,5574
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",35358,9183
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",16839,3783
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",30651,6767
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",24216,3609
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",36513,8701
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",35733,8163
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",42448,11162
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",35992,5314
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",80808,26660
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",71194,15668
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",53961,9252
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",36231,8597
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",29851,6510
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",32219,10420
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",39453,8229
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",40553,10675
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",39018,6315
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",25616,4958
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",30545,7050
1500000US530330007003,530330007003,"Block Group 3, Census Tract 7, King County, Washington",39524,9145
1500000US530330007004,530330007004,"Block Group 4, Census Tract 7, King County, Washington",47595,12307
1500000US530330008001,530330008001,"Block Group 1, Census Tract 8, King County, Washington",31361,5735
1500000US530330008002,530330008002,"Block Group 2, Census Tract 8, King County, Washington",42683,6614
1500000US530330009001,530330009001,"Block Group 1, Census Tract 9, King County, Washington",54334,8768
1500000US530330009002,530330009002,"Block Group 2, Census Tract 9, King County, Washington",68298,12234
1500000US530330010001,530330010001,"Block Group 1, Census Tract 10, King County, Washington",27880,7292
1500000US530330010002,530330010002,"Block Group 2, Census Tract 10, King County, Washington",39046,8627
1500000US530330011001,530330011001,"Block Group 1, Census Tract 11, King County, Washington",37006,8406
1500000US530330011002,530330011002,"Block Group 2, Census Tract 11, King County, Washington",45595,7585
1500000US530330012001,530330012001,"Block Group 1, Census Tract 12, King County, Washington",53600,24527
1500000US530330012002,530330012002,"Block Group 2, Census Tract 12, King County, Washington",31719,8280
1500000US530330012003,530330012003,"Block Group 3, Census Tract 12, King County, Washington",26544,6050
1500000US530330012004,530330012004,"Block Group 4, Census Tract 12, King County, Washington",29286,14431
1500000US530330012005,530330012005,"Block Group 5, Census Tract 12, King County, Washington",24292,5275
1500000US530330013001,530330013001,"Block Group 1, Census Tract 13, King County, Washington",36820,8224
1500000US530330013002,530330013002,"Block Group 2, Census Tract 13, King County, Washington",31675,6652
1500000US530330013003,530330013003,"Block Group 3, Census Tract 13, King County, Washington",30591,6528
1500000US530330014001,530330014001,"Block Group 1, Census Tract 14, King County, Washington",31218,4804
1500000US530330014002,530330014002,"Block Group 2, Census Tract 14, King County, Washington",37756,9107
1500000US530330014003,530330014003,"Block Group 3, Census Tract 14, King County, Washington",29536,6197
1500000US530330014004,530330014004,"Block Group 4, Census Tract 14, King County, Washington",44391,4741
1500000US530330015001,530330015001,"Block Group 1, Census Tract 15, King County, Washington",45890,7542
1500000US530330015002,530330015002,"Block Group 2, Census Tract 15, King County, Washington",57904,8346
1500000US530330016001,530330016001,"Block Group 1, Census Tract 16, King County, Washington",77377,18767
1500000US530330016002,530330016002,"Block Group 2, Census Tract 16, King County, Washington",56777,7393
1500000US530330016003,530330016003,"Block Group 3, Census Tract 16, King County, Washington",37355,5636
1500000US530330017011,530330017011,"Block Group 1, Census Tract 17.01, King County, Washington",36583,5469
1500000US530330017012,530330017012,"Block Group 2, Census Tract 17.01, King County, Washington",55058,11727
1500000US530330017013,530330017013,"Block Group 3, Census Tract 17.01, King County, Washington",44592,16381
1500000US530330017021,530330017021,"Block Group 1, Census Tract 17.02, King County, Washington",33753,4935
1500000US530330017022,530330017022,"Block Group 2, Census Tract 17.02, King County, Washington",43450,8459
1500000US530330017023,530330017023,"Block Group 3, Census Tract 17.02, King County, Washington",34476,4677
1500000US530330017024,530330017024,"Block Group 4, Census Tract 17.02, King County, Washington",35511,11184
1500000US530330018001,530330018001,"Block Group 1, Census Tract 18, King County, Washington",37752,8836
1500000US530330018002,530330018002,"Block Group 2, Census Tract 18, King County, Washington",45324,7128
1500000US530330018003,530330018003,"Block Group 3, Census Tract 18, King County, Washington",45382,11762
1500000US530330019001,530330019001,"Block Group 1, Census Tract 19, King County, Washington",32661,6699
1500000US530330019002,530330019002,"Block Group 2, Census Tract 19, King County, Washington",44418,10332
1500000US530330019003,530330019003,"Block Group 3, Census Tract 19, King County, Washington",57279,25357
1500000US530330020001,530330020001,"Block Group 1, Census Tract 20, King County, Washington",49882,14036
1500000US530330020002,530330020002,"Block Group 2, Census Tract 20, King County, Washington",39106,6929
1500000US530330020003,530330020003,"Block Group 3, Census Tract 20, King County, Washington",45067,9496
1500000US530330021001,530330021001,"Block Group 1, Census Tract 21, King County, Washington",38858,7376
1500000US530330021002,530330021002,"Block Group 2, Census Tract 21, King County, Washington",40146,5605
1500000US530330021003,530330021003,"Block Group 3, Census Tract 21, King County, Washington",50706,12714
1500000US530330022001,530330022001,"Block Group 1, Census Tract 22, King County, Washington",51379,10750
1500000US530330022002,530330022002,"Block Group 2, Census Tract 22, King County, Washington",47725,12494
1500000US530330022003,530330022003,"Block Group 3, Census Tract 22, King County, Washington",62437,13116
1500000US530330022004,530330022004,"Block Group 4, Census Tract 22, King County, Washington",69000,19869
1500000US530330024001,530330024001,"Block Group 1, Census Tract 24, King County, Washington",47884,8006
1500000US530330024002,530330024002,"Block Group 2, Census Tract 24, King County, Washington",40634,9686
