Id,Id2,Geography,Tenure Total,Margin of Error; Total:,Own,Margin of Error; Total: - Owner occupied,Rent,Margin of Error; Total: - Renter occupied
1500000US530330294083,530330294083,"Block Group 3, Census Tract 294.08, King County, Washington",730,107,84,38,646,105
1500000US530330295021,530330295021,"Block Group 1, Census Tract 295.02, King County, Washington",712,93,518,97,194,80
1500000US530330295022,530330295022,"Block Group 2, Census Tract 295.02, King County, Washington",378,78,324,76,54,46
1500000US530330295023,530330295023,"Block Group 3, Census Tract 295.02, King County, Washington",360,94,323,86,37,59
1500000US530330295024,530330295024,"Block Group 4, Census Tract 295.02, King County, Washington",473,70,349,75,124,52
1500000US530330295031,530330295031,"Block Group 1, Census Tract 295.03, King County, Washington",308,88,194,70,114,84
1500000US530330295032,530330295032,"Block Group 2, Census Tract 295.03, King County, Washington",892,198,141,69,751,187
1500000US530330295033,530330295033,"Block Group 3, Census Tract 295.03, King County, Washington",612,163,105,52,507,158
1500000US530330295034,530330295034,"Block Group 4, Census Tract 295.03, King County, Washington",306,99,99,50,207,96
1500000US530330295035,530330295035,"Block Group 5, Census Tract 295.03, King County, Washington",733,150,24,24,709,151
1500000US530330295041,530330295041,"Block Group 1, Census Tract 295.04, King County, Washington",647,147,137,78,510,142
1500000US530330295042,530330295042,"Block Group 2, Census Tract 295.04, King County, Washington",553,124,106,48,447,133
1500000US530330295043,530330295043,"Block Group 3, Census Tract 295.04, King County, Washington",860,143,275,95,585,127
1500000US530330296011,530330296011,"Block Group 1, Census Tract 296.01, King County, Washington",480,113,306,97,174,86
1500000US530330296012,530330296012,"Block Group 2, Census Tract 296.01, King County, Washington",308,88,232,81,76,52
1500000US530330296013,530330296013,"Block Group 3, Census Tract 296.01, King County, Washington",449,103,208,78,241,109
1500000US530330296014,530330296014,"Block Group 4, Census Tract 296.01, King County, Washington",326,81,317,83,9,14
1500000US530330296015,530330296015,"Block Group 5, Census Tract 296.01, King County, Washington",314,105,281,104,33,33
1500000US530330296021,530330296021,"Block Group 1, Census Tract 296.02, King County, Washington",372,53,360,56,12,21
1500000US530330296022,530330296022,"Block Group 2, Census Tract 296.02, King County, Washington",429,65,418,66,11,18
1500000US530330296023,530330296023,"Block Group 3, Census Tract 296.02, King County, Washington",774,78,657,90,117,63
1500000US530330297001,530330297001,"Block Group 1, Census Tract 297, King County, Washington",565,111,355,94,210,76
1500000US530330297002,530330297002,"Block Group 2, Census Tract 297, King County, Washington",711,159,371,120,340,152
1500000US530330297003,530330297003,"Block Group 3, Census Tract 297, King County, Washington",724,163,85,68,639,166
1500000US530330297004,530330297004,"Block Group 4, Census Tract 297, King County, Washington",374,124,155,68,219,111
1500000US530330297005,530330297005,"Block Group 5, Census Tract 297, King County, Washington",468,136,125,54,343,146
1500000US530330298011,530330298011,"Block Group 1, Census Tract 298.01, King County, Washington",477,82,389,78,88,56
1500000US530330298012,530330298012,"Block Group 2, Census Tract 298.01, King County, Washington",594,133,335,86,259,118
1500000US530330298013,530330298013,"Block Group 3, Census Tract 298.01, King County, Washington",454,109,291,79,163,85
1500000US530330298014,530330298014,"Block Group 4, Census Tract 298.01, King County, Washington",514,119,502,122,12,20
1500000US530330298015,530330298015,"Block Group 5, Census Tract 298.01, King County, Washington",768,132,0,12,768,132
1500000US530330298021,530330298021,"Block Group 1, Census Tract 298.02, King County, Washington",465,86,426,91,39,42
