Id,Id2,Geography,Pc_income,Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",52263,12125
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",28031,8262
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",32444,7109
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",14964,3495
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",38550,7871
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",41387,6296
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",22630,9438
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",28106,6339
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",28853,4782
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",33771,6767
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",36545,6978
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",32409,5924
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",33939,9490
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",19084,3849
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",35299,6590
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",24395,4395
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",35599,7836
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",35540,9854
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",39898,10243
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",40168,5388
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",67397,14600
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",72655,16794
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",55944,8339
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",34721,8563
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",24892,5452
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",33666,10288
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",36149,6266
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",37458,7628
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",34211,6719
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",25321,4897
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",33524,8063
1500000US530330007003,530330007003,"Block Group 3, Census Tract 7, King County, Washington",46322,10025
1500000US530330007004,530330007004,"Block Group 4, Census Tract 7, King County, Washington",52723,13365
1500000US530330008001,530330008001,"Block Group 1, Census Tract 8, King County, Washington",36820,6806
1500000US530330008002,530330008002,"Block Group 2, Census Tract 8, King County, Washington",41638,6308
1500000US530330009001,530330009001,"Block Group 1, Census Tract 9, King County, Washington",60154,9230
1500000US530330009002,530330009002,"Block Group 2, Census Tract 9, King County, Washington",66558,12750
1500000US530330010001,530330010001,"Block Group 1, Census Tract 10, King County, Washington",24980,5001
1500000US530330010002,530330010002,"Block Group 2, Census Tract 10, King County, Washington",43992,7109
1500000US530330011001,530330011001,"Block Group 1, Census Tract 11, King County, Washington",35046,7989
1500000US530330011002,530330011002,"Block Group 2, Census Tract 11, King County, Washington",46182,7845
1500000US530330012001,530330012001,"Block Group 1, Census Tract 12, King County, Washington",54145,31062
1500000US530330012002,530330012002,"Block Group 2, Census Tract 12, King County, Washington",32288,9925
1500000US530330012003,530330012003,"Block Group 3, Census Tract 12, King County, Washington",23543,5311
1500000US530330012004,530330012004,"Block Group 4, Census Tract 12, King County, Washington",23299,9209
1500000US530330012005,530330012005,"Block Group 5, Census Tract 12, King County, Washington",23719,6095
1500000US530330013001,530330013001,"Block Group 1, Census Tract 13, King County, Washington",43226,10308
1500000US530330013002,530330013002,"Block Group 2, Census Tract 13, King County, Washington",34133,8310
1500000US530330013003,530330013003,"Block Group 3, Census Tract 13, King County, Washington",30625,7557
1500000US530330014001,530330014001,"Block Group 1, Census Tract 14, King County, Washington",31356,4599
1500000US530330014002,530330014002,"Block Group 2, Census Tract 14, King County, Washington",30747,9569
1500000US530330014003,530330014003,"Block Group 3, Census Tract 14, King County, Washington",32857,8184
1500000US530330014004,530330014004,"Block Group 4, Census Tract 14, King County, Washington",43777,4993
1500000US530330015001,530330015001,"Block Group 1, Census Tract 15, King County, Washington",48777,7321
1500000US530330015002,530330015002,"Block Group 2, Census Tract 15, King County, Washington",63362,8681
1500000US530330016001,530330016001,"Block Group 1, Census Tract 16, King County, Washington",68236,12662
1500000US530330016002,530330016002,"Block Group 2, Census Tract 16, King County, Washington",59005,7246
1500000US530330016003,530330016003,"Block Group 3, Census Tract 16, King County, Washington",37211,5159
1500000US530330017011,530330017011,"Block Group 1, Census Tract 17.01, King County, Washington",40341,8821
1500000US530330017012,530330017012,"Block Group 2, Census Tract 17.01, King County, Washington",53476,9126
1500000US530330017013,530330017013,"Block Group 3, Census Tract 17.01, King County, Washington",51163,21334
1500000US530330017021,530330017021,"Block Group 1, Census Tract 17.02, King County, Washington",31809,5265
1500000US530330017022,530330017022,"Block Group 2, Census Tract 17.02, King County, Washington",43286,8152
1500000US530330017023,530330017023,"Block Group 3, Census Tract 17.02, King County, Washington",30497,4457
1500000US530330017024,530330017024,"Block Group 4, Census Tract 17.02, King County, Washington",35586,9336
1500000US530330018001,530330018001,"Block Group 1, Census Tract 18, King County, Washington",41486,11112
1500000US530330018002,530330018002,"Block Group 2, Census Tract 18, King County, Washington",43302,7485
1500000US530330018003,530330018003,"Block Group 3, Census Tract 18, King County, Washington",38047,10221
1500000US530330019001,530330019001,"Block Group 1, Census Tract 19, King County, Washington",34652,7521
1500000US530330019002,530330019002,"Block Group 2, Census Tract 19, King County, Washington",51013,11105
1500000US530330019003,530330019003,"Block Group 3, Census Tract 19, King County, Washington",58513,26270
1500000US530330020001,530330020001,"Block Group 1, Census Tract 20, King County, Washington",50468,11565
1500000US530330020002,530330020002,"Block Group 2, Census Tract 20, King County, Washington",44086,9742
1500000US530330020003,530330020003,"Block Group 3, Census Tract 20, King County, Washington",42609,7194
1500000US530330021001,530330021001,"Block Group 1, Census Tract 21, King County, Washington",42883,6280
1500000US530330021002,530330021002,"Block Group 2, Census Tract 21, King County, Washington",37926,5866
1500000US530330021003,530330021003,"Block Group 3, Census Tract 21, King County, Washington",45600,9591
1500000US530330022001,530330022001,"Block Group 1, Census Tract 22, King County, Washington",50807,10273
