Id,Id2,Geography,Med_Hh_Income,Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",115956,42828
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",40479,8685
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",71429,26854
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",36354,9224
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",30167,14172
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",85052,20436
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",52500,21565
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",43029,6944
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",58339,4214
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",81563,22526
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",106118,24566
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",91964,17741
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",50438,15031
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",31402,1660
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",56250,21108
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",26618,6246
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",50179,25523
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",62548,32707
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",44904,34915
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",88942,23730
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",127222,55426
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",126719,38019
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",116875,30443
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",88750,17431
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",45179,25713
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",51786,40434
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",54306,7079
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",70192,44116
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",54327,19774
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",49559,10653
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",43681,8865
1500000US530330007003,530330007003,"Block Group 3, Census Tract 7, King County, Washington",74125,38281
1500000US530330007004,530330007004,"Block Group 4, Census Tract 7, King County, Washington",74712,20948
1500000US530330008001,530330008001,"Block Group 1, Census Tract 8, King County, Washington",81118,28022
1500000US530330008002,530330008002,"Block Group 2, Census Tract 8, King County, Washington",96705,37816
1500000US530330009001,530330009001,"Block Group 1, Census Tract 9, King County, Washington",125446,23270
1500000US530330009002,530330009002,"Block Group 2, Census Tract 9, King County, Washington",143558,35606
1500000US530330010001,530330010001,"Block Group 1, Census Tract 10, King County, Washington",62566,18160
1500000US530330010002,530330010002,"Block Group 2, Census Tract 10, King County, Washington",106250,24083
1500000US530330011001,530330011001,"Block Group 1, Census Tract 11, King County, Washington",68375,25074
1500000US530330011002,530330011002,"Block Group 2, Census Tract 11, King County, Washington",76042,19133
1500000US530330012001,530330012001,"Block Group 1, Census Tract 12, King County, Washington",106371,12310
1500000US530330012002,530330012002,"Block Group 2, Census Tract 12, King County, Washington",51602,15718
1500000US530330012003,530330012003,"Block Group 3, Census Tract 12, King County, Washington",23625,19551
1500000US530330012004,530330012004,"Block Group 4, Census Tract 12, King County, Washington",40461,8771
1500000US530330012005,530330012005,"Block Group 5, Census Tract 12, King County, Washington",-,**
1500000US530330013001,530330013001,"Block Group 1, Census Tract 13, King County, Washington",61827,35680
1500000US530330013002,530330013002,"Block Group 2, Census Tract 13, King County, Washington",62500,11973
1500000US530330013003,530330013003,"Block Group 3, Census Tract 13, King County, Washington",66250,24436
1500000US530330014001,530330014001,"Block Group 1, Census Tract 14, King County, Washington",59145,19853
1500000US530330014002,530330014002,"Block Group 2, Census Tract 14, King County, Washington",73173,65615
1500000US530330014003,530330014003,"Block Group 3, Census Tract 14, King County, Washington",68682,16652
1500000US530330014004,530330014004,"Block Group 4, Census Tract 14, King County, Washington",107232,49674
1500000US530330015001,530330015001,"Block Group 1, Census Tract 15, King County, Washington",101429,44871
1500000US530330015002,530330015002,"Block Group 2, Census Tract 15, King County, Washington",97083,22766
1500000US530330016001,530330016001,"Block Group 1, Census Tract 16, King County, Washington",132083,29451
1500000US530330016002,530330016002,"Block Group 2, Census Tract 16, King County, Washington",105357,25206
1500000US530330016003,530330016003,"Block Group 3, Census Tract 16, King County, Washington",72500,12802
1500000US530330017011,530330017011,"Block Group 1, Census Tract 17.01, King County, Washington",60938,15637
1500000US530330017012,530330017012,"Block Group 2, Census Tract 17.01, King County, Washington",67115,15168
1500000US530330017013,530330017013,"Block Group 3, Census Tract 17.01, King County, Washington",86034,21904
1500000US530330017021,530330017021,"Block Group 1, Census Tract 17.02, King County, Washington",59318,15720
1500000US530330017022,530330017022,"Block Group 2, Census Tract 17.02, King County, Washington",55469,14635
1500000US530330017023,530330017023,"Block Group 3, Census Tract 17.02, King County, Washington",100263,48487
1500000US530330017024,530330017024,"Block Group 4, Census Tract 17.02, King County, Washington",81544,19233
1500000US530330018001,530330018001,"Block Group 1, Census Tract 18, King County, Washington",108640,19995
1500000US530330018002,530330018002,"Block Group 2, Census Tract 18, King County, Washington",77727,22599
1500000US530330018003,530330018003,"Block Group 3, Census Tract 18, King County, Washington",70911,17602
1500000US530330019001,530330019001,"Block Group 1, Census Tract 19, King County, Washington",53929,9159
1500000US530330019002,530330019002,"Block Group 2, Census Tract 19, King County, Washington",113056,30369
1500000US530330019003,530330019003,"Block Group 3, Census Tract 19, King County, Washington",80469,37211
1500000US530330020001,530330020001,"Block Group 1, Census Tract 20, King County, Washington",92778,29657
1500000US530330020002,530330020002,"Block Group 2, Census Tract 20, King County, Washington",82391,15845
1500000US530330020003,530330020003,"Block Group 3, Census Tract 20, King County, Washington",104531,27724
1500000US530330021001,530330021001,"Block Group 1, Census Tract 21, King County, Washington",112803,14924
1500000US530330021002,530330021002,"Block Group 2, Census Tract 21, King County, Washington",72552,16289
1500000US530330021003,530330021003,"Block Group 3, Census Tract 21, King County, Washington",87344,23069
1500000US530330022001,530330022001,"Block Group 1, Census Tract 22, King County, Washington",108203,86383
1500000US530330022002,530330022002,"Block Group 2, Census Tract 22, King County, Washington",119265,29207
1500000US530330022003,530330022003,"Block Group 3, Census Tract 22, King County, Washington",131953,77711
1500000US530330022004,530330022004,"Block Group 4, Census Tract 22, King County, Washington",159327,43956
1500000US530330024001,530330024001,"Block Group 1, Census Tract 24, King County, Washington",114722,41754
1500000US530330024002,530330024002,"Block Group 2, Census Tract 24, King County, Washington",85357,48850
1500000US530330024003,530330024003,"Block Group 3, Census Tract 24, King County, Washington",114813,30673
1500000US530330025001,530330025001,"Block Group 1, Census Tract 25, King County, Washington",102279,30830
1500000US530330025002,530330025002,"Block Group 2, Census Tract 25, King County, Washington",99211,21617
1500000US530330026001,530330026001,"Block Group 1, Census Tract 26, King County, Washington",84129,31208
1500000US530330026002,530330026002,"Block Group 2, Census Tract 26, King County, Washington",114286,19974
1500000US530330026003,530330026003,"Block Group 3, Census Tract 26, King County, Washington",82232,60364
1500000US530330026004,530330026004,"Block Group 4, Census Tract 26, King County, Washington",77279,27095
1500000US530330027001,530330027001,"Block Group 1, Census Tract 27, King County, Washington",86667,39041
1500000US530330027002,530330027002,"Block Group 2, Census Tract 27, King County, Washington",173198,35952
1500000US530330027003,530330027003,"Block Group 3, Census Tract 27, King County, Washington",155784,49402
1500000US530330027004,530330027004,"Block Group 4, Census Tract 27, King County, Washington",112976,33337
1500000US530330028001,530330028001,"Block Group 1, Census Tract 28, King County, Washington",123203,26906
1500000US530330028002,530330028002,"Block Group 2, Census Tract 28, King County, Washington",102692,31539
1500000US530330028003,530330028003,"Block Group 3, Census Tract 28, King County, Washington",91550,14108
1500000US530330028004,530330028004,"Block Group 4, Census Tract 28, King County, Washington",96875,68612
1500000US530330029001,530330029001,"Block Group 1, Census Tract 29, King County, Washington",97955,24662
1500000US530330029002,530330029002,"Block Group 2, Census Tract 29, King County, Washington",89000,19669
1500000US530330029003,530330029003,"Block Group 3, Census Tract 29, King County, Washington",103056,48437
1500000US530330030001,530330030001,"Block Group 1, Census Tract 30, King County, Washington",74837,29244
1500000US530330030002,530330030002,"Block Group 2, Census Tract 30, King County, Washington",91220,21755
1500000US530330030003,530330030003,"Block Group 3, Census Tract 30, King County, Washington",78125,22330
1500000US530330030004,530330030004,"Block Group 4, Census Tract 30, King County, Washington",120503,33324
1500000US530330031001,530330031001,"Block Group 1, Census Tract 31, King County, Washington",102019,33071
1500000US530330031002,530330031002,"Block Group 2, Census Tract 31, King County, Washington",97404,28250
1500000US530330031003,530330031003,"Block Group 3, Census Tract 31, King County, Washington",85570,25289
1500000US530330031004,530330031004,"Block Group 4, Census Tract 31, King County, Washington",102460,22590
1500000US530330031005,530330031005,"Block Group 5, Census Tract 31, King County, Washington",101017,13852
1500000US530330032001,530330032001,"Block Group 1, Census Tract 32, King County, Washington",102875,14233
1500000US530330032002,530330032002,"Block Group 2, Census Tract 32, King County, Washington",76454,22271
1500000US530330032003,530330032003,"Block Group 3, Census Tract 32, King County, Washington",75644,29467
1500000US530330032004,530330032004,"Block Group 4, Census Tract 32, King County, Washington",45570,27941
1500000US530330032005,530330032005,"Block Group 5, Census Tract 32, King County, Washington",69615,21215
1500000US530330032006,530330032006,"Block Group 6, Census Tract 32, King County, Washington",91651,17678
1500000US530330032007,530330032007,"Block Group 7, Census Tract 32, King County, Washington",165212,55627
1500000US530330033001,530330033001,"Block Group 1, Census Tract 33, King County, Washington",127643,27442
1500000US530330033002,530330033002,"Block Group 2, Census Tract 33, King County, Washington",83669,28101
1500000US530330033003,530330033003,"Block Group 3, Census Tract 33, King County, Washington",90161,32179
1500000US530330033004,530330033004,"Block Group 4, Census Tract 33, King County, Washington",92557,36712
1500000US530330033005,530330033005,"Block Group 5, Census Tract 33, King County, Washington",77917,23321
1500000US530330034001,530330034001,"Block Group 1, Census Tract 34, King County, Washington",96023,27897
1500000US530330034002,530330034002,"Block Group 2, Census Tract 34, King County, Washington",111625,35772
1500000US530330034003,530330034003,"Block Group 3, Census Tract 34, King County, Washington",106103,31550
