Id,Id2,Geography,Med_Hh_Income,Margin of Error; Median household income in the past 12 months (in 2013 inflation-adjusted dollars)
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",113450,23029
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",30765,24338
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",67585,24161
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",22224,3118
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",34881,14064
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",82813,26897
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",34053,26946
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",43268,10792
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",48491,13560
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",50258,27073
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",76369,25388
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",55417,8189
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",80054,12908
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",30176,8300
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",60859,26726
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",24545,10581
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",48673,15627
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",60577,11584
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",37097,17503
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",45750,12034
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",134018,45594
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",142019,74892
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",108875,24087
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",58510,12643
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",37945,18604
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",61667,31584
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",77902,37556
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",81397,19705
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",58681,12920
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",43846,19725
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",44350,9956
1500000US530330007003,530330007003,"Block Group 3, Census Tract 7, King County, Washington",72991,35001
1500000US530330007004,530330007004,"Block Group 4, Census Tract 7, King County, Washington",83482,31538
1500000US530330008001,530330008001,"Block Group 1, Census Tract 8, King County, Washington",64315,15913
1500000US530330008002,530330008002,"Block Group 2, Census Tract 8, King County, Washington",84167,9352
